,Created_at,Username,Tweet
0,2022-09-20 17:29:36+00:00,YuvaSirsa,"RT @Nyksindia: NYK Visakhapatnam- Coastal Cleanliness Campaign "" Swachh Sagar, Surakshit Sagar/ Clean Coast Safe Sea"" at R.K. Beach/Yarada…"
1,2022-09-20 17:29:36+00:00,GonzoGuad,The fact that Americans are willing to piss away our Democracy is so 2022. 🤨 #VoteBlueToSaveAmerica
2,2022-09-20 17:29:36+00:00,coupwoorideul,"RT @pledis_17jp: 2022.11.09 RELEASE
#SEVENTEEN JAPAN 1ST EP「DREAM」HIPHOP TEAM Artist Photo

#WONWOO 

#DREAM #SVT_DREAM https://t.co/gCUTVo…"
3,2022-09-20 17:29:36+00:00,BharathrockyB,RT @OrmaxMedia: Ormax Stars India Loves: Most popular male film stars in India (Aug 2022) #OrmaxSIL https://t.co/LxkrUwE85g
4,2022-09-20 17:29:36+00:00,ShelLovesMew,"RT @MPearls97: ✨ I G  F O L L O W E R S ✨
     💗 MEW SUPPASIT 💗
      -  18-20 / 09 / 2022  - 
 [ 4,826,668 ▶️ 4,837,993 ]

              +…"
5,2022-09-20 17:29:36+00:00,Chichu_katelyn,"RT @j1soomar: BLACKPINK Performs ""Pink Venom"" | 2022 VMAs https://t.co/IieZTWYNQ8 ผ่าน @YouTube"
6,2022-09-20 17:29:36+00:00,Wahyubae062,"RT @DoctorMdShadab: 🎙️We're pleased to announce our next #AMA with  Halcyon Initiative 

⏰21st SEP  2022  at 14:00 PM UTC

💰Rewards Pool: $…"
7,2022-09-20 17:29:36+00:00,wedik14,"RT @tigray116: “The widespread denial and obstruction of access to basic services, food, healthcare, and humanitarian assistance to Tigray.…"
8,2022-09-20 17:29:36+00:00,PimenJongkey,"I've read this manga multiple times! You should check it out, too!
 
#cupheadshow #TGCF #artist

https://t.co/bADXm937x3 https://t.co/T78g23o2G3"
9,2022-09-20 17:29:36+00:00,mundolinuxbot,RT @gaetanoz: Rise in XorDdos: A deeper look at the stealthy DDoS malware targeting Linux devices  https://t.co/q9phFQuQEb
10,2022-09-20 17:29:36+00:00,EmilieFELIX59,"RT @pchiron: « TikTok’s rise as a discovery tool is part of a broader transformation in digital search. »

https://t.co/setGg70oBc"
11,2022-09-20 17:29:36+00:00,manmeet_ahuja,"RT @cryptocom: 🚨 https://t.co/vCNztATkNg is supporting the Tax Burn for LUNC on Terra Classic (LUNC) Network 🚨

🗓️ Scheduled at block 9,475…"
12,2022-09-20 17:29:36+00:00,SonOfAlgos,"70% of Americans support Ukraine &amp; Europe wholeheartedly, but the 30% Rightwingers in the US do not, &amp; are actually Putin supporters, &amp; this minority will actually control the US in 2022 &amp; 2024 because of the way the Electoral system in the US is set up."
13,2022-09-20 17:29:36+00:00,amsekn,"RT @TailsAustin9922: Some shots from the new teaser for Sonic Prime! Coming Winter 2022!

#SonicTheHedgehog #SonicPrime https://t.co/3bpWCo…"
